Object Number,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Reign,Portfolio,Constiuent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Nationality,Artist Begin Date,Artist End Date,Object Begin Date,Object End Date,Medium,Credit Line,Geography Type,City,State,County,Country,Classification
1989.76.2,FALSE,503363,,Musical Instruments,1989,Gusli,Gusli,Russian,,,155045,Maker,,Felix Stanislavski,,,,,,1988,1988,Wood,"Gift of Felix Stanislavski, 1989",,St. Petersburg (Leningrad),,,Russia,Chordophone-Zither-plucked
1989.76.3,FALSE,503364,,Musical Instruments,1989,Gusli,Gusli,Russian,,,155045,Maker,,Felix Stanislavski,,,,,,1988,1988,Wood,"Gift of Felix Stanislavski, 1989",,St. Petersburg (Leningrad),,,Russia,Chordophone-Zither-plucked
89.4.3353,FALSE,503739,,Musical Instruments,1889,Gusli,Gusli,Russian,,,,,,,,,,,,1800,1899,wood,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Chordophone-Zither-plucked
89.4.3356,FALSE,503740,,Musical Instruments,1889,Balalaika,Balalaika,Russian,,,,,,,,,,,,1850,1900,Wood,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Chordophone-Lute-plucked-fretted
89.4.3355,FALSE,503741,,Musical Instruments,1889,Balalaika,Balalaika,Russian,,,,,,,,,,,,1900,1910,wood,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Chordophone-Lute-plucked-fretted
89.4.3357,FALSE,503742,,Musical Instruments,1889,Bass Balalaika,Bass Balalaika,Russian,,,,,,,,,,,,1900,1910,"wood, gut","The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Chordophone-Lute-plucked-unfretted
89.4.3453,FALSE,503746,,Musical Instruments,1889,Rattle,Rattle,Russian,,,,,,,,,,,,1875,1900,metal,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Idiophone-Shaken
89.4.3454,FALSE,503747,,Musical Instruments,1889,Drum,Drum,Siberian (Chukchi people),,,,,,,,,,,,1875,1900,Wood,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Membranophone-single-headed / frame drum
89.4.3451,FALSE,503748,,Musical Instruments,1889,Drum,Drum,Russian (Siberian),,,,,,,,,,,,1875,1900,"Wood, skin","The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Membranophone-double-headed / cylindro-conical
89.4.3358,FALSE,503749,,Musical Instruments,1889,Tenor Balalaika,Tenor Balalaika,Russian,,,,,,,,,,,,1850,1900,"Metal, wood","The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Chordophone-Lute-plucked-fretted
89.4.3359,FALSE,503750,,Musical Instruments,1889,Alto Balalaika,Alto Balalaika,Russian,,,,,,,,,,,,1850,1900,"Metal, wood, wire strings","The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Chordophone-Lute-plucked-fretted
89.4.3360,FALSE,503751,,Musical Instruments,1889,Soprano Balalaika,Soprano Balalaika,Russian,,,,,,,,,,,,1850,1900,"Bone, metal, wood","The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Chordophone-Lute-plucked-fretted
"89.4.2171a, b",FALSE,503792,,Musical Instruments,1889,Handbell,Handbell,Russian,,,,,,,,,,,,1801,1900,Brass,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Idiophone-Struck-bell-clapper
89.4.2172,FALSE,503793,,Musical Instruments,1889,Bell,Bell,Russian,,,,,,,,,,,,1801,1900,Bronze,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Idiophone-Struck-bell
89.4.2488,FALSE,503794,,Musical Instruments,1889,Handbell,Handbell,Russian,,,,,,,,,,,,1801,1900,Bronze,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Idiophone-Struck-bell-clapper
89.4.2357,FALSE,503824,,Musical Instruments,1889,Ohotniche Rogi in G-sharp,Ohotniche Rogi in G-sharp,Russian,,,,,,,,,,,,1800,1899,brass,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Aerophone-Lip Vibrated-horn
89.4.2356,FALSE,503825,680,Musical Instruments,1889,Ohotniche Rogi in B,Ohotniche Rogi in B,Russian,,,,,,,,,,,,1800,1899,brass,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Aerophone-Lip Vibrated-horn
89.4.2355,FALSE,503826,680,Musical Instruments,1889,Ohotniche Rogi in D-sharp,Ohotniche Rogi in D-sharp,Russian,,,,,,,,,,,,1800,1899,brass,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Aerophone-Lip Vibrated-horn
89.4.2354,FALSE,503827,680,Musical Instruments,1889,Ohotniche Rogi in F,Ohotniche Rogi in F,Russian,,,,,,,,,,,,1800,1899,brass,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Aerophone-Lip Vibrated-horn
89.4.2353,FALSE,503828,,Musical Instruments,1889,Ohotniche Rogi in F-sharp,Ohotniche Rogi in F-sharp,Russian,,,,,,,,,,,,1800,1899,Brass,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Aerophone-Lip Vibrated-horn
89.4.2489,TRUE,504843,684,Musical Instruments,1889,Schellenbaum,Schellenbaum,Russian,,,,,,,,,,,,1750,1799,"Brass, wood","The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Idiophone-Shaken-jingle
"89.4.3452a, b",FALSE,504860,,Musical Instruments,1889,Violin,Violin,Russian (Siberia),,,156151,Culture,,Chukchee People,,,,,,1800,1889,Pinewood,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Chordophone-Lute-plucked-unfretted
7.92,FALSE,504963,,Musical Instruments,1907,Bell,Bell,Russian,,,,,,,,,,,,1800,1899,Bronze,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Idiophone-Struck-bell
1976.285.18,FALSE,505659,,Musical Instruments,1976,Music Box,Music Box,Possibly Russian,,,,,,,,,,,,1801,1900,Various materials,"Gift of Murtogh D. Guinness, 1976",,,,,Russia,Idiophone
2011.529.73,FALSE,506560,,Musical Instruments,2011,Bell,Bell,Russian,,,,,,,,,,,,1950,1970,glass,"Gift of A. A. Trinidad Jr., 2011",,,,,Russia,Idiophone-Struck-bell
2014.698.1,FALSE,669899,,The American Wing,2014,Drawing,Design drawing,Russian,,,34488,Artist,,Peter Carl Fabergé,1846–1920,,,1846,1920,1899,1904,"Graphite, watercolor, and gouache on wove paper","Gift of the children of Malcom S. Forbes, in his memory, 2014",Made in,St. Petersburg,,,Russia,Drawings
89.4.313,FALSE,500940,,Musical Instruments,1889,Bishkhur,Bishkhur,Russian (Siberian),,,,,,,,,,,,1850,1900,Reed,"The Crosby Brown Collection of Musical Instruments, 1889",,,,Siberia,Russia,Aerophone-Reed Vibrated
89.4.1880,FALSE,502479,,Musical Instruments,1889,Costume Bell,Costume Bell,Russian?,,,,,,,,,,,,1801,1900,Bronze,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Idiophone-Struck-bell-clapper
89.4.1881,FALSE,502480,,Musical Instruments,1889,Handbell,Handbell,Russian?,,,,,,,,,,,,1801,1900,Bronze,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Idiophone-Struck-bell-clapper
89.4.1884,FALSE,502483,,Musical Instruments,1889,Bell,Bell,Russian?,,,,,,,,,,,,1801,1900,Brass,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Russia,Idiophone-Struck-bell-clapper
2014.698.2,FALSE,669898,743,The American Wing,2014,Vase,Vase with serpent mounts,"American, Russian",,,45673|35162|3635,Artist|Manufacturer|Manufacturer,Workmaster: Johan,Viktor Aarne|House of Carl Fabergé|Tiffany Furnaces,New York,,,1863,1934      |9999      ,1897,1899,Blown Favrile glass; silver gilt mounts,"Gift of the children of Malcom S. Forbes, in his memory, 2014",Made in|Made in,St. Petersburg|New York,Corona,Corona,Russia,Glass
89.4.316,FALSE,500943,,Musical Instruments,1889,Jew's Harp,Jew's Harp,Russian (Siberian),,,,,,,,,,,,1801,1900,"Iron, steel","The Crosby Brown Collection of Musical Instruments, 1889",,,,Siberia,Russia,Idiophone-Plucked / Depressed
17.191.177,TRUE,464872,,Medieval Art,1917,Buckle,Shoe Buckle,Byzantine,,,,,,,,,,,,600,699,Silver,"Gift of J. Pierpont Morgan, 1917",Made in|Made in,,|,Martynovka,Russia,Metalwork-Silver
17.190.688,TRUE,464560,304,Medieval Art,1917,Plaque,Roundel with a Personification of the Moon,Carolingian,,,,,,,,,,,,860,890,"Cloisonné enamel, Copper alloy, gilding,  iron back plate","Gift of J. Pierpont Morgan, 1917",Made in,,,,France,Enamels-Cloisonné
17.190.696,TRUE,464568,304,Medieval Art,1917,Plaque,Plaque with Christ in Majesty,South French,,,,,,,,,,,,1050,1100,Cloisonné enamel on gilded copper alloy,"Gift of J. Pierpont Morgan, 1917",Made in,,,,France,Enamels-Champlevé
67.168,TRUE,470283,,The Cloisters,1967,Relief,Eagle Relief,Italian,,,,,,,,,,,,1000,1099,Marble (White Carrara marble),"The Cloisters Collection, 1967",Made in,,,,Italy,Sculpture-Architectural
21.172.1,TRUE,466332,301,Medieval Art,1921,Column,Column,Frankish,,,,,,,,,,,,400,599,Marble,"Purchase, Rogers Fund, and Henry Walters and George Blumenthal Gifts, 1921",Made in,Toulouse,,,France,Sculpture-Architectural
17.194.1919,TRUE,465845,301,Medieval Art,1917,Torc,Neck Ring,Celtic,,,,,,,,,,,,-400,-300,Copper alloy with remains of glass paste inlays,"Gift of J. Pierpont Morgan, 1917",Made in,,,,Germany,Metalwork-Copper alloy
17.190.2125,TRUE,464190,304,Medieval Art,1917,Font,Baptismal Font,South Italian,,,,,,,,,,,,1137,1137,Marble (Pentelic marble),"Gift of J. Pierpont Morgan, 1917",Made in,probably Sicily,,Calabria,Italy,Sculpture-Stone
18.70.21,TRUE,465935,304,Medieval Art,1918,Pillar with capital,Pillar with Capital,South Italian,,,,,,,,,,,,800,899,Marble (Carrara marble),"Rogers Fund, 1918",Made in,,,,Italy,Sculpture-Stone
30.3,TRUE,467079,304,Medieval Art,1930,Transenna panel,Relief Panel with Two Griffins Drinking from a Cup,South Italian,,,,,,,,,,,,875,925,"Marble, polychromy","Rogers Fund, 1930",Made in,,,Campania,Italy,Sculpture-Architectural
47.100.53a,TRUE,468216,304,Medieval Art,1947,Statue head,Crowned Head of a Woman,South Italian,,,,,,,,,,,,1270,1270,"Marble (Lunense marble from Carrera), traces of lapis lazuli and lead","Fletcher Fund, 1947",Made in,,,Campania probably,Italy,Sculpture-Stone
2005.366,TRUE,476552,301,Medieval Art,2005,Neck Ring; Torque,Gold Neck Ring,Celtic,,,,,,,,,,,,-599,-300,Gold,"Purchase, 2005 Benefit Fund, Rogers Fund, Audrey Love Charitable Foundation Gift, and Gifts of J. Pierpont Morgan and George Blumenthal and Fletcher Fund, by exchange, 2005
",Made in,,,,Russia,Metalwork-Gold
25.120.590,TRUE,466603,301,The Cloisters,1925,Fragment,Fragment of a Marble Sarcophagus,Frankish,,,,,,,,,,,,700,799,Marble,"The Cloisters Collection, 1925",Made in,,,,France,Sculpture-Stone
67.265.16,TRUE,468727,,Medieval Art,1967,Dobla,"Dobla of Alfonso of Aragon (r. 1465–68), also known as Alfonso I of Naples (r. 1442–58)",Spanish and Italian,,,,,,,,,,,,1465,1483,Gold,"Gift of C. Ruxton Love Jr., 1967",Made in,,,Aragon and Sicily,Italy,Coins
41.100.180,TRUE,467752,304,Medieval Art,1941,Plaque,Plaque with the Annunciation,Catalan or Central Italian,,,,,,,,,,,,1200,1225,"Champlevé enamel, copper-gilt","Gift of George Blumenthal, 1941",Made in|Made in,Catalonia,|,,Italy,Enamels-Champlevé
95.15.100a,TRUE,468991,301,Medieval Art,1895,Buckle plate,Belt Buckle with an Eagle,Ostrogothic,,,,,,,,,,,,500,700,Silver with garnets,"Purchase, 1895",Made in,Crimea,,,Ukraine,Metalwork-Silver
95.15.100c,TRUE,472630,301,Medieval Art,1895,Buckle tongue,Belt Buckle with an Eagle,Ostrogothic,,,,,,,,,,,,500,700,Silver,"Purchase, 1895",Made in,,,Crimea,Ukraine,Metalwork-Silver
2008.656.1a–c,FALSE,506068,,Musical Instruments,2008,Bandura,Bandura,Ukranian,,,156406,Maker,,Chernihiv Music Workshop,Ukrainian,,Ukrainian,,,1950,1952,"Wood, metal, ivory.","Gift of The Fund for Research of Ancient Civilizations, 2008",,,,,Ukraine,Chordophone-Zither-plucked
2008.656.2,FALSE,506069,,Musical Instruments,2008,Table Cover,Table Cover,Ukranian,,,,,,,,,,,,1900,1999,Cotton,"Gift of The Fund for Research of Ancient Civilizations, 2008",,,,,Ukraine,Accessory
2000.566,FALSE,16813,,The American Wing,2000,Brooch,Cameo Brooch,American or Italian,,,,,,,,,,,,1860,1870,"Coral, gold, pearls, and diamonds","Purchase, Susan and Jon Rotenstreich Gift, 2000",Made in|Probably made in,,,,Italy,Jewelry
17.191.79,TRUE,465129,,Medieval Art,1917,Mount,Belt Mount,Frankish,,,,,,,,,,,,500,600,"Copper alloy, cast","Gift of J. Pierpont Morgan, 1917",Made in,Herpes,,,France,Metalwork-Copper alloy
17.193.181,TRUE,465497,,Medieval Art,1917,Necklace,Beads from a Necklace,Frankish,,,,,,,,,,,,500,700,"Glass, amber, shell","Gift of J. Pierpont Morgan, 1917",Made in,Niederbreisig,,,Germany,Glass-Beads
"34.100.32a, b",TRUE,1017,774,The American Wing,1934,Bride box,Bride Box,European,,,,,,,,,,,,1787,1787,Cedar,"Gift of Mrs. Robert W. de Forest, 1933",,,,,European,Furniture
"34.100.35a, b",TRUE,1018,774,The American Wing,1934,Bride box,Bride Box,European,,,,,,,,,,,,1700,1800,Cedar,"Gift of Mrs. Robert W. de Forest, 1933",,,,,European,Furniture
"34.100.37a, b",TRUE,1020,774,The American Wing,1934,Bride box,Bride Box,European,,,,,,,,,,,,1777,1780,Cedar,"Gift of Mrs. Robert W. de Forest, 1933",,,,,European,Furniture
"34.100.42a, b",TRUE,1021,774,The American Wing,1934,Bride box,Bride Box,European,,,,,,,,,,,,1777,1780,Cedar,"Gift of Mrs. Robert W. de Forest, 1933",,,,,European,Furniture
34.100.55,TRUE,4924,774,The American Wing,1934,Mangle board,Mangle Board,European,,,,,,,,,,,,1799,1799,"Beech, walnut","Gift of Mrs. Robert W. de Forest, 1933",,,,,European,Furniture
34.100.56,TRUE,6878,774,The American Wing,1934,Roller,Roller,European,,,,,,,,,,,,1799,1799,"Beech, walnut","Gift of Mrs. Robert W. de Forest, 1933",,,,,European,Furniture
41.35.2,TRUE,12864,,The American Wing,1941,"Painting, miniature",Portrait of a Gentleman,European,,,,,,,,,,,,1700,1730,Oil on copper,"Fletcher Fund, 1941",,,,,European,Paintings
41.35.1,TRUE,12918,,The American Wing,1941,"Painting, miniature",James Delancey,European,,,,,,,,,,,,1700,1700,Oil on copper,"Fletcher Fund, 1941",,,,,European,Paintings
41.196,TRUE,13579,,The American Wing,1941,Carpet,Carpet,European,,,,,,,,,,,,1857,1860,Wool and cotton,"Gift of Mrs. William Brown Meloney, 1941",,,,,European,Textiles
33.104,TRUE,23943,375,Arms and Armor,1933,Detached flintlock,Detached Flintlock alla Fiorentina,"Italian, Bargi",,,10799|11318,Gunsmith|Gunsmith,or,"Matteo Cecchi, called Acquafresca|Sebastiano Cecchi, called Acquafresca","Italian, Bargi, 1651–1738|Italian, Bargi, 1619–1692",,Italian|Italian,1651      |1619      ,1738      |1692      ,1679,1679,Steel,"Rogers Fund, 1933",,Bargi,,,Italy,Firearms-Pistols-Snaphaunce
33.164a–x,TRUE,23944,371,Arms and Armor,1933,Armor,Armor of Emperor Ferdinand I (1503–1564),"German, Nuremberg",,,9484,Armorer,,Kunz Lochner,"German, Nuremberg, 1510–1567",,German,1510,1567,1549,1549,"Steel, brass, leather","Purchase, Rogers Fund and George D. Pratt Gift, 1933",,Nuremberg,,,Germany,Armor
34.57.15,FALSE,23946,376,Arms and Armor,1934,Smallsword,Smallsword,French,,,,,,,,,,,,1755,1810,"Steel, gold, wood, textile","Gift of Jean Jacques Reubell, in memory of his mother, Julia C. Coster, and of his wife, Adeline E. Post, both of New York City, 1926",,,,,France,Swords
34.77,TRUE,23947,,Arms and Armor,1934,Close helmet for the tilt,Close Helmet for the Tilt,"German, Augsburg",,,,,,,,,,,,1573,1573,"Steel, gold, brass","Gift of George D. Pratt, 1934",,Augsburg,,,Germany,Helmets
34.85,TRUE,23948,374,Arms and Armor,1934,Shield,Shield of Henry II of France (reigned 1547–59),French,,,,,,,,,,,,1530,1580,"Steel, gold, silver","Harris Brisbane Dick Fund, 1934",,,,,France,Shields
35.81.4,TRUE,23949,375,Arms and Armor,1935,Percussion pistol with case,Percussion Pistol with Case,"French, Paris",,,9541,Gunsmith,,Alfred Gauvain,"French, Paris 1801–1889 Paris",,French,1801,1889,1819,1869,"Steel, wood (ebony), gold, wood, textile","Bequest of Charles N. Daly, 1934",,Paris,,,France,Firearms-Pistols-Percussion
36.58a–e,TRUE,23950,375,Arms and Armor,1936,Double-barreled flintlock shotgun,Double-Barreled Flintlock Shotgun,"French, Versailles",,,10548,Gunsmith,,Nicolas Noël Boutet,"French, Versailles and Paris, 1761–1833",,French,1761,1833,1801,1801,"Steel, wood (walnut, ebony), gold, silver","Rogers Fund, 1936",,Versailles,,,France,Firearms
"36.25.513a, b",FALSE,24258,379,Arms and Armor,1936,Stirrups,Pair of Stirrups,"East European, possibly Balkans",,,,,,,,,,,,1701,1900,Copper alloy,"Bequest of George C. Stone, 1935",,,,,European,Equestrian Equipment-Stirrups
36.25.547,FALSE,24273,,Arms and Armor,1936,Bit,Buxton Type Curb Bit,European,,,,,,,,,,,,1801,1900,Iron alloy,"Bequest of George C. Stone, 1935",,,,,European,Equestrian Equipment-Bits
36.149.4,TRUE,24644,375,Arms and Armor,1936,"Powder flask with spanner, primer, and bullet compartment","Powder Flask with Spanner, Primer, and Bullet Compartment","German, Augsburg or Nuremberg",,,,,,,,,,,,1550,1600,"Bronze, gold","Gift of Christian A. Zabriskie, 1936",,Augsburg or Nuremberg,,,Germany,Firearms Accessories-Powder Horns
36.149.13,FALSE,24645,,Arms and Armor,1936,Locking gauntlet,Locking Gauntlet,"German, Augsburg",,,,,,,,,,,,1515,1565,"Steel, gold, copper alloy","Gift of Christian A. Zabriskie, 1936",,Augsburg,,,Germany,Armor Parts-Gauntlets
36.149.15,FALSE,24646,,Arms and Armor,1936,Backplate,Backplate,"German, Augsburg",,,9454,Armorer,,Mattheus Frauenpreis the Elder,"German, Augsburg, recorded 1510–49",,German,1529,1549,1525,1575,Steel,"Gift of Christian A. Zabriskie, 1936",,Augsburg,,,Germany,Armor Parts-Backplates
37.186.2,TRUE,24658,376,Arms and Armor,1937,Smallsword,Smallsword,"French, Paris; blade, German",,,,,,,,,,,,1694,1695,"Silver, gold, wood, steel","Gift of Mrs. D. H. Schmidt, in memory of Theodore Offerman, 1937",,Paris,,,France,Swords
37.189.12,FALSE,24659,,Arms and Armor,1937,Breastplate,Breastplate,German,,,,,,,,,,,,1490,1540,Steel,"Gift of Christian A. Zabriskie, 1937",,,,,Germany,Armor Parts-Breastplates
38.143b–d,TRUE,24660,373,Arms and Armor,1938,Cuirass and tassets (torso and hip defense),Cuirass and Tassets (Torso and Hip Defense),"German, Augsburg",,,9550|165238,Armorer|Decorator,Attributed to|Etching attributed to,Kolman Helmschmid|Daniel Hopfer,"German, Augsburg 1471–1532|German, Kaufbeuren 1471–1536 Augsburg",,German|German,1471      |1471      ,1532      |1536      ,1485,1545,"Steel, leather","Gift of Marshall Field, 1938",,Augsburg,,,Germany,Armor
38.128.1,TRUE,24667,371,Arms and Armor,1938,Helmet,Helmet,German,,,,,,,,,,,,1510,1560,Steel,"Purchase, Joseph Pulitzer Bequest, 1938",,,,,Germany,Helmets
38.128.2,FALSE,24668,371,Arms and Armor,1938,Left gauntlet,Left Gauntlet,German,,,,,,,,,,,,1510,1560,Steel,"Purchase, Joseph Pulitzer Bequest, 1938",,,,,Germany,Armor Parts-Gauntlets
39.121a–n,TRUE,24671,374,Arms and Armor,1939,Armor,"Armor of Henry II, King of France (reigned 1547–59)","French, possibly Paris",,,185509|163577,Designer|Designer,Part of the decoration design possibly by|Part of the decoration design by,Baptiste Pellerin|Jean Cousin the Elder,"French, documented in Étampes 1542–75 Paris|French, Souci (?) ca. 1490–ca. 1560 Paris (?)",,,1542      |1485      ,1575      |1565      ,1530,1580,"Steel, gold, silver, leather, textile","Harris Brisbane Dick Fund, 1939",,possibly Paris,,,France,Armor for Man
39.146.2,FALSE,24672,,Arms and Armor,1939,Mitten gauntlet for the right hand,Mitten Gauntlet for the Right Hand,French,,,,,,,,,,,,1525,1575,"Steel, leather, copper alloy","Purchase, Gift of Mrs. Ridgely Hunt, in memory of William Cruger Pell, by exchange, 1939",,,,,France,Armor Parts-Gauntlets
39.147.1,TRUE,24673,,Arms and Armor,1939,Gorget,"Gorget possibly from an Armor of Philip II, King of Spain",German,,,,,,,,,,,,1525,1575,"Steel, gold, leather, copper alloy","Rogers Fund, 1939",,,,,Germany,Armor Parts-Colletins
39.147.2,FALSE,24674,,Arms and Armor,1939,Gauntlet for the left hand,Gauntlet for the Left Hand,German,,,,,,,,,,,,1525,1575,"Steel, gold, copper alloy","Rogers Fund, 1939",,,,,Germany,Armor Parts-Gauntlets
"39.159.2, .3",TRUE,24675,373,Arms and Armor,1939,Pair of rowel spurs,Pair of Rowel Spurs,French,,,,,,,,,,,,1375,1425,"Copper alloy, gold, textile","Rogers Fund, 1939",,,,,France,Equestrian Equipment-Spurs
39.159.1,FALSE,24676,374,Arms and Armor,1939,Eared dagger,Eared Dagger,French,,,9460,Maker,,Diego de Caias,"Spanish, recorded 1535–49",,Spanish,1535,1549,1505,1555,"Steel, gold, ivory, brass, copper","Rogers Fund, 1939",,,,,France,Daggers
40.135.1,FALSE,24677,376,Arms and Armor,1940,Rapier,Rapier,European,,,,,,,,,,,,1545,1605,"Steel, gold, silver","Gift of Christian A. Zabriskie, 1940",,,,,European,Swords
40.135.3,TRUE,24678,373,Arms and Armor,1940,Tournament helm (Kolbenturnierhelm),Tournament Helm (&lt;i&gt;Kolbenturnierhelm&lt;/i&gt;),German,,,,,,,,,,,,1450,1500,"Steel, textile, leather, gesso, polychromy","Gift of Christian A. Zabriskie, 1940",,,,,Germany,Helmets
40.135.4,FALSE,24679,,Arms and Armor,1940,Buffe (face defense),Buffe (Face Defense),"German, Augsburg",,,9550,Armorer,,Kolman Helmschmid,"German, Augsburg 1471–1532",,German,1471,1532,1534,1536,"Steel, gold","Gift of Christian A. Zabriskie, 1940",,Augsburg,,,Germany,Armor Parts-Buffes
"42.50.9, .10",TRUE,24682,375,Arms and Armor,1942,Pair of flintlock pistols,Pair of Flintlock Pistols,"Italian, Brescia",,,11185,Gunsmith,,Giovan Battista Francino,"Italian, Brescia, active second half of 17th century",,Italian,1623,1700,1661,1711,"Steel, wood (walnut), wool","Gift of Stephen V. Grancsay, 1942",,Brescia,,,Italy,Firearms-Pistols-Flintlock
42.50.37a–c,FALSE,24683,,Arms and Armor,1942,Breastplate with reinforcing plate and lance-rest,Breastplate with Reinforcing Plate and Lance-rest,Italian,,,,,,,,,,,,1401,1500,Steel,"Gift of Stephen V. Grancsay, 1942",,,,,Italy,Armor Parts-Breastplates
42.50.7a–n,TRUE,24684,375,Arms and Armor,1942,Double-barreled flintlock shotgun with exchangeable percussion locks and barrels,Double-Barreled Flintlock Shotgun with Exchangeable Percussion Locks and Barrels,"French, Versailles and Paris",,,9508|10548|11213|11214,Barrelsmith|Gunsmith|Lock maker|Retailer,Exchangeable percussion barrels by|Exchangeable percussion locks by|Exchangeable percussion locks and barrels originally sold by,Léopold Bernard|Nicolas Noël Boutet|B. Montagnon|G. Zaoué,"French, Paris, active 1832–70|French, Versailles and Paris, 1761–1833|French, active ca. 1850|French, active 1857–61",,French|French|French|French,1832      |1761      |1825      |1857      ,1870      |1833      |1875      |1861      ,1793,1860,"Steel, gold, wood (walnut), silver, horn","Gift of Stephen V. Grancsay, 1942",,Versailles and Paris,,,France,Firearms
42.50.1,TRUE,24685,373,Arms and Armor,1942,Helmet (<i>Spangenhelm</i>),Helmet (&lt;i&gt;Spangenhelm&lt;/i&gt;),Byzantine or Germanic,,,,,,,,,,,,501,700,"Steel, copper alloy, gold","Gift of Stephen V. Grancsay, 1942",,,,,Germany,Helmets
42.50.2,TRUE,24686,373,Arms and Armor,1942,Armet,Armet,"Italian, probably Milan",,,184200,Armorer,"Stamped with the armorer's name,",LIONARDO,"Italian, probably active in Milan, ca. 1440",,Italian,1415,1465,1415,1465,"Steel, copper alloy","Gift of Stephen V. Grancsay, 1942",,probably Milan,,,Italy,Helmets
42.50.4,TRUE,24687,374,Arms and Armor,1942,Cabasset,Cabasset,"Italian, Milan",,,,,,,,,,,,1550,1600,"Steel, gold, silver, copper alloy","Gift of Stephen V. Grancsay, 1942",,Milan,,,Italy,Helmets
42.50.5,TRUE,24688,374,Arms and Armor,1942,Shield,Surrender of the Elector of Saxony,"Italian, Milan",,,,,,,,,,,,1535,1595,"Steel, gold, silver","Gift of Stephen V. Grancsay, 1942",,Milan,,,Italy,Shields
42.50.8,TRUE,24689,375,Arms and Armor,1942,Wheellock rifle,Wheellock Rifle,"German, Schwäbisch Gmünd",,,9525,Maker,,Johann Michael Maucher,"German, Schwäbisch Gmünd, 1645–1701",,German,1670,1701,1655,1715,"Steel, wood (cherry), ivory, mother-of-pearl","Gift of Stephen V. Grancsay, 1942",,Schwäbisch Gmünd,,,Germany,Firearms
42.50.12,TRUE,24690,376,Arms and Armor,1942,Rapier,Rapier,probably German,,,,,,,,,,,,1600,1650,"Steel, silver, iron","Gift of Stephen V. Grancsay, 1942",,,,,Germany,Swords
"42.50.13a, b",TRUE,24691,373,Arms and Armor,1942,Armet with matching wrapper,Armet with Matching Wrapper,"Italian, probably Milan",,,,,,,,,,,,1450,1500,"Steel, leather","Gift of Stephen V. Grancsay, 1942",,,,,Italy,Helmets
42.50.14,TRUE,24692,373,Arms and Armor,1942,Barbute,Barbute,"Italian, Milan",,,9552,Armorer,,Bernardino da Carnago,"Italian, active in Milan and Naples, ca. 1475",,Italian,1450,1500,1450,1500,Steel,"Gift of Stephen V. Grancsay, 1942",,,,Milan,Italy,Helmets
42.50.16,TRUE,24693,374,Arms and Armor,1942,Shield,Shield,"Italian, probably Bologna",,,162564,Maker,Attributed to,Girolamo da Treviso,"Italian, Treviso ca. 1498–1544 Boulogne-sur-Mer",,Italian,1498,1544,1510,1560,"Wood, linen, gesso, gold leaf, polychromy","Gift of Stephen V. Grancsay, 1942",,probably Bologna,,,Italy,Shields
"42.50.24a, b",FALSE,24694,374,Arms and Armor,1942,Right vambrace and left cuisse (arm and thigh defenses) from a costume armor,Right Vambrace and Left Cuisse (Arms and Thigh Defenses) from a Costume Armor,"German, Nuremberg",,,,,,,,,,,,1500,1550,Steel,"Gift of Stephen V. Grancsay, 1942",,Nuremberg,,,Germany,Armor Parts
42.50.25,FALSE,24695,376,Arms and Armor,1942,Rapier,Rapier,Italian,,,,,,,,,,,,1525,1575,"Steel, silver, brass","Gift of Stephen V. Grancsay, 1942",,possibly Brescia,,,Italy,Swords
42.50.27a–n,TRUE,24696,371,Arms and Armor,1942,Armor for field and tournament,Armor for Field and Tournament,"Italian, probably Milan",,,,,,,,,,,,1550,1605,"Steel, gold, silver, leather, textile","Gift of Stephen V. Grancsay, 1942   
",,probably Milan,,,Italy,Armor for Man
